pcode,name,hierarchy,parent_pcode
PH166807001,Adlay,ASM4,PH166807000
PH157009014,Adnin,ASM4,PH157009000
PH104207001,Adorable,ASM4,PH104207000
PH056205001,Adovis (Pob.),ASM4,PH056205000
PH175208001,Adrialuna,ASM4,PH175208000
PH101316001,Adtuyon,ASM4,PH101316000
PH036910003,Aduas,ASM4,PH036910000
PH034903002,Aduas Centro (Aduas),ASM4,PH034903000
PH034903090,Aduas Norte,ASM4,PH034903000
PH034903091,Aduas Sur,ASM4,PH034903000
PH142706001,Aduyongan,ASM4,PH142706000
PH041014001,Adya,ASM4,PH041014000
PH060417001,Afga,ASM4,PH060417000
PH160314001,Afga,ASM4,PH160314000
PH126316024,Aflek,ASM4,PH126316000
PH021510002,Afunan Cabayu,ASM4,PH021510000
PH126316017,Afus,ASM4,PH126316000
PH021502002,Afusing Bato,ASM4,PH021502000
PH021502003,Afusing Daga,ASM4,PH021502000
PH012926001,Ag-agrao,ASM4,PH012926000
PH012933001,Ag-aguman,ASM4,PH012933000
PH023118001,Aga,ASM4,PH023118000
PH041019001,Aga,ASM4,PH041019000
PH148106001,Aga,ASM4,PH148106000
PH051711001,Agaas,ASM4,PH051711000
PH012806002,Agaga,ASM4,PH012806000
PH153634001,Agagan,ASM4,PH153634000
PH071232002,Agahay,ASM4,PH071232000
PH021506002,Agaman (Proper),ASM4,PH021506000
PH021506047,Agaman Norte,ASM4,PH021506000
PH021506048,Agaman Sur,ASM4,PH021506000
PH061906001,Agambulong,ASM4,PH061906000
PH074620001,Agan-an,ASM4,PH074620000
PH061902001,Aganan,ASM4,PH061902000
PH063036001,Aganan,ASM4,PH063036000
PH021502004,Agani,ASM4,PH021502000
PH051730001,Agao-ao,ASM4,PH051730000
PH160202002,Agao Pob. (Bgy. 3),ASM4,PH160202000
PH071228001,Agape,ASM4,PH071228000
PH071229001,Agape,ASM4,PH071229000
PH035401001,Agapito del Rosario,ASM4,PH035401000
PH104213016,"Agapito Yap, Sr. (Napilan)",ASM4,PH104213000
PH083713002,Agas,ASM4,PH083713000
PH015541001,Agat,ASM4,PH015541000
PH144403001,Agawa,ASM4,PH144403000
PH086414001,Agay-ay,ASM4,PH086414000
PH104308001,Agay-ayan,ASM4,PH104308000
PH051737001,Agay-Ayan,ASM4,PH051737000
PH063010001,Agba-o,ASM4,PH063010000
PH061910001,Agbabadiang,ASM4,PH061910000
PH060406001,Agbago,ASM4,PH060406000
PH072233001,Agbalanga,ASM4,PH072233000
