"Summary of Core ICT Indicators for Establishments Under Business Process Management (BPM) Activities: Philippines"

"Geolocation","Industry Description","Number of establishments 2013","Number of establishments 2015","Number of establishments 2017","Establishments with computers and communication equipment 2013","Establishments with computers and communication equipment 2015","Establishments with computers and communication equipment 2017","Establishments with internet access 2013","Establishments with internet access 2015","Establishments with internet access 2017","Number of employees 2013","Number of employees 2015","Number of employees 2017","Employees using computer routinely at work 2013","Employees using computer routinely at work 2015","Employees using computer routinely at work 2017","Employees using computer with internet connection routinely at work 2013","Employees using computer with internet connection routinely at work 2015","Employees using computer with internet connection routinely at work 2017","Establishments with web presence 2013","Establishments with web presence 2015","Establishments with web presence 2017","Establishments with intranet 2013","Establishments with intranet 2015","Establishments with intranet 2017","Establishments with extranet 2013","Establishments with extranet 2015","Establishments with extranet 2017","Establishments with wired local area network 2013","Establishments with wired local area network 2015","Establishments with wired local area network 2017","Establishments with wireless local area network 2013","Establishments with wireless local area network 2015","Establishments with wireless local area network 2017","Establishments with wide area network 2013","Establishments with wide area network 2015","Establishments with wide area network 2017","Establishments with e-commerce via the internet 2013","Establishments with e-commerce via the internet 2015","Establishments with e-commerce via the internet 2017","Establishments with e-commerce via network channels other than the internet 2013","Establishments with e-commerce via network channels other than the internet 2015","Establishments with e-commerce via network channels other than the internet 2017","Establishments with business transaction via cellular mobile phone/ smartphone 2013","Establishments with business transaction via cellular mobile phone/ smartphone 2015","Establishments with business transaction via cellular mobile phone/ smartphone 2017","Establishments which used the internet for finance accounting and auditing 2013","Establishments which used the internet for finance accounting and auditing 2015","Establishments which used the internet for finance accounting and auditing 2017","Establishments which used the internet for internal or external recruitment 2013","Establishments which used the internet for internal or external recruitment 2015","Establishments which used the internet for internal or external recruitment 2017","Establishments which used the internet for staff training 2013","Establishments which used the internet for staff training 2015","Establishments which used the internet for staff training 2017","Establishments which used the internet for sharing or distribution of information within the establishment 2013","Establishments which used the internet for sharing or distribution of information within the establishment 2015","Establishments which used the internet for sharing or distribution of information within the establishment 2017","Establishments which used the internet for sharing or distribution of information with other organizations 2013","Establishments which used the internet for sharing or distribution of information with other organizations 2015","Establishments which used the internet for sharing or distribution of information with other organizations 2017","Establishments which used the internet for obtaining information from other organizations 2013","Establishments which used the internet for obtaining information from other organizations 2015","Establishments which used the internet for obtaining information from other organizations 2017","Establishments which used the internet for obtaining information from government organizations 2013","Establishments which used the internet for obtaining information from government organizations 2015","Establishments which used the internet for obtaining information from government organizations 2017","Establishments which used the internet for downloading or requesting government forms 2013","Establishments which used the internet for downloading or requesting government forms 2015","Establishments which used the internet for downloading or requesting government forms 2017","Establishments which used the internet for completing forms on-line or sending completed forms 2013","Establishments which used the internet for completing forms on-line or sending completed forms 2015","Establishments which used the internet for completing forms on-line or sending completed forms 2017","Establishments which used the internet for making on-line payments to government corporations 2013","Establishments which used the internet for making on-line payments to government corporations 2015","Establishments which used the internet for making on-line payments to government corporations 2017","Establishments which used the internet for sending or receiving e-mails 2013","Establishments which used the internet for sending or receiving e-mails 2015","Establishments which used the internet for sending or receiving e-mails 2017","Establishments with Social Media Account 2013","Establishments with Social Media Account 2015","Establishments with Social Media Account 2017"
"..Region II (Cagayan Valley)","..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Computer programming activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Computer consultancy and computer facilities management activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Other information technology and computer service activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Data processing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Website hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Application hosting services",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Customer relationship management activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Sales and marketing (including telemarketing) activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Other call centers activities (voice), n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Medical transcription activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Human resources and training activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","Business Process Management",28.0,..,37.0,100.0,..,100.0,100.0,..,100.0,16587.0,..,24118.0,90.1,..,98.8,89.7,..,93.4,53.6,..,62.2,75.0,..,86.5,32.1,..,35.1,50.0,..,100.0,39.3,..,78.4,53.6,..,54.1,28.6,..,32.4,10.7,..,2.7,10.7,..,32.4,42.9,..,67.6,67.9,..,91.9,67.9,..,75.7,82.1,..,89.2,53.6,..,81.1,57.1,..,89.2,92.9,..,86.5,82.1,..,94.6,42.9,..,94.6,50.0,..,73.0,..,..,91.9,..,..,54.1
"..Region III (Central Luzon)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Other publishing activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Computer programming activities",8.0,..,8.0,100.0,..,100.0,100.0,..,100.0,263.0,..,224.0,98.5,..,100.0,98.5,..,100.0,75.0,..,50.0,75.0,..,87.5,25.0,..,50.0,25.0,..,100.0,25.0,..,87.5,50.0,..,37.5,50.0,..,25.0,12.5,..,0.0,25.0,..,25.0,25.0,..,87.5,87.5,..,100.0,87.5,..,87.5,87.5,..,100.0,62.5,..,100.0,62.5,..,100.0,75.0,..,87.5,87.5,..,100.0,12.5,..,100.0,75.0,..,87.5,..,..,100.0,..,..,50.0
"..Region III (Central Luzon)","..Computer consultancy and computer facilities management activities",3.0,..,4.0,100.0,..,100.0,100.0,..,100.0,148.0,..,185.0,89.2,..,95.1,89.2,..,95.1,66.7,..,75.0,66.7,..,100.0,33.3,..,0.0,33.3,..,100.0,33.3,..,100.0,33.3,..,50.0,66.7,..,50.0,0.0,..,0.0,33.3,..,0.0,66.7,..,100.0,100.0,..,75.0,66.7,..,100.0,100.0,..,100.0,33.3,..,100.0,33.3,..,100.0,100.0,..,100.0,100.0,..,100.0,33.3,..,100.0,33.3,..,50.0,..,..,100.0,..,..,50.0
"..Region III (Central Luzon)","..Other information technology and computer service activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region III (Central Luzon)","..Data processing",..,..,5.0,..,..,100.0,..,..,100.0,..,..,1196.0,..,..,99.8,..,..,79.1,..,..,80.0,..,..,60.0,..,..,20.0,..,..,100.0,..,..,20.0,..,..,40.0,..,..,40.0,..,..,0.0,..,..,40.0,..,..,40.0,..,..,100.0,..,..,20.0,..,..,60.0,..,..,40.0,..,..,60.0,..,..,60.0,..,..,100.0,..,..,100.0,..,..,60.0,..,..,100.0,..,..,80.0
"..Region III (Central Luzon)","..Website hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Application hosting services",5.0,..,..,100.0,..,..,100.0,..,..,2212.0,..,..,94.7,..,..,92.1,..,..,40.0,..,..,60.0,..,..,20.0,..,..,40.0,..,..,20.0,..,..,40.0,..,..,0.0,..,..,0.0,..,..,0.0,..,..,20.0,..,..,20.0,..,..,40.0,..,..,80.0,..,..,40.0,..,..,40.0,..,..,100.0,..,..,40.0,..,..,0.0,..,..,40.0,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Customer relationship management activities",9.0,..,13.0,100.0,..,100.0,100.0,..,100.0,13926.0,..,21049.0,89.2,..,99.3,89.2,..,94.3,55.6,..,61.5,100.0,..,92.3,55.6,..,53.8,100.0,..,100.0,77.8,..,84.6,77.8,..,76.9,22.2,..,23.1,22.2,..,0.0,0.0,..,30.8,66.7,..,69.2,77.8,..,92.3,66.7,..,84.6,77.8,..,92.3,77.8,..,76.9,77.8,..,84.6,100.0,..,84.6,100.0,..,84.6,100.0,..,84.6,55.6,..,76.9,..,..,76.9,..,..,46.2
"..Region III (Central Luzon)","..Sales and marketing (including telemarketing) activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region III (Central Luzon)","..Other call centers activities (voice), n.e.c.",..,..,3.0,..,..,100.0,..,..,100.0,..,..,545.0,..,..,99.8,..,..,99.8,..,..,66.7,..,..,100.0,..,..,0.0,..,..,100.0,..,..,66.7,..,..,33.3,..,..,66.7,..,..,33.3,..,..,66.7,..,..,33.3,..,..,100.0,..,..,66.7,..,..,100.0,..,..,100.0,..,..,100.0,..,..,100.0,..,..,100.0,..,..,100.0,..,..,66.7,..,..,100.0,..,..,33.3
"..Region III (Central Luzon)","..Medical transcription activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Human resources and training activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region III (Central Luzon)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region III (Central Luzon)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","Business Process Management",24.0,..,31.0,100.0,..,100.0,100.0,..,100.0,10423.0,..,28846.0,99.1,..,97.9,95.2,..,65.7,45.8,..,51.6,66.7,..,71.0,29.2,..,22.6,75.0,..,87.1,62.5,..,83.9,50.0,..,54.8,20.8,..,19.4,8.3,..,0.0,12.5,..,29.0,58.3,..,58.1,66.7,..,71.0,62.5,..,51.6,75.0,..,64.5,58.3,..,45.2,66.7,..,67.7,83.3,..,77.4,87.5,..,83.9,58.3,..,80.6,41.7,..,71.0,..,..,83.9,..,..,67.7
"..Region IV-A (CALABARZON)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","..Other publishing activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
