admin2_name,Attribute,Value
PH030800000,secondary_language_share,0.017
PH031400000,secondary_language_share,0.005
PH034900000,secondary_language_share,0.16
PH035400000,secondary_language_share,0.19
PH036900000,secondary_language_share,0.397
PH037100000,secondary_language_share,0.15
PH037700000,secondary_language_share,0.261
PH041000000,secondary_language_share,0.002
PH042100000,secondary_language_share,0.008
PH043400000,secondary_language_share,0.005
PH045600000,secondary_language_share,0.022
PH045800000,secondary_language_share,0.009
PH050500000,secondary_language_share,0.018
PH051600000,secondary_language_share,0.345
PH051700000,secondary_language_share,0.05
PH052000000,secondary_language_share,0.009
PH054100000,secondary_language_share,0.268
PH056200000,secondary_language_share,0.009
PH060400000,secondary_language_share,0.014
PH060600000,secondary_language_share,0.038
PH061900000,secondary_language_share,0.029
PH063000000,secondary_language_share,0.204
PH067900000,secondary_language_share,0.07
PH071200000,secondary_language_share,0.264
PH072200000,secondary_language_share,0.117
PH076100000,secondary_language_share,0.053
PH082600000,secondary_language_share,0.004
PH083700000,secondary_language_share,0.446
PH084800000,secondary_language_share,0.026
PH086000000,secondary_language_share,0.037
PH086400000,secondary_language_share,0.022
PH087800000,secondary_language_share,0.38
PH097200000,secondary_language_share,0.102
PH097300000,secondary_language_share,0.202
PH098300000,secondary_language_share,0.112
PH099700000,secondary_language_share,0.288
PH101300000,secondary_language_share,0.322
PH101800000,secondary_language_share,0.222
PH103500000,secondary_language_share,0.259
PH104200000,secondary_language_share,0.141
PH104300000,secondary_language_share,0.079
PH112300000,secondary_language_share,0.149
PH112400000,secondary_language_share,0.153
PH112500000,secondary_language_share,0.224
PH118200000,secondary_language_share,0.196
PH118600000,secondary_language_share,0.153
PH124700000,secondary_language_share,0.22
PH126300000,secondary_language_share,0.276
PH126500000,secondary_language_share,0.241
PH128000000,secondary_language_share,0.219
PH129800000,secondary_language_share,0.129
PH133900000,secondary_language_share,0.013
PH137400000,secondary_language_share,0.013
PH137500000,secondary_language_share,0.013
PH137600000,secondary_language_share,0.013
PH140100000,secondary_language_share,0.133
PH141100000,secondary_language_share,0.232
PH142700000,secondary_language_share,0.21
PH143200000,secondary_language_share,0.407
PH144400000,secondary_language_share,0.177
PH148100000,secondary_language_share,0.29
PH150700000,secondary_language_share,0.211
PH153600000,secondary_language_share,0.027
PH153800000,secondary_language_share,0.171
PH156600000,secondary_language_share,0.073
PH157000000,secondary_language_share,0.375
PH160200000,secondary_language_share,0.104
PH160300000,secondary_language_share,0.177
PH166700000,secondary_language_share,0.389
PH166800000,secondary_language_share,0.285
PH168500000,secondary_language_share,0.219
PH174000000,secondary_language_share,0.001
PH175100000,secondary_language_share,0.093
PH175200000,secondary_language_share,0.069
PH175300000,secondary_language_share,0.164
PH175900000,secondary_language_share,0.245
PH184500000,secondary_language_share,0.08
PH184600000,secondary_language_share,0.15
PH012800000,tertiary_language,Isnag
PH012900000,tertiary_language,Kankanaey
PH013300000,tertiary_language,Kankanaey
PH015500000,tertiary_language,Tagalog
PH020900000,tertiary_language,Ilocano
PH021500000,tertiary_language,Ibanag
PH023100000,tertiary_language,Tagalog
PH025000000,tertiary_language,Tagalog
PH025700000,tertiary_language,Tagalog
PH030800000,tertiary_language,Bisaya/Binisaya
PH031400000,tertiary_language,Bikol
PH034900000,tertiary_language,Kapampangan
PH035400000,tertiary_language,Bisaya/Binisaya
PH036900000,tertiary_language,Tagalog
PH037100000,tertiary_language,Ilocano
PH037700000,tertiary_language,Bikol
PH041000000,tertiary_language,Bikol
PH042100000,tertiary_language,Chavacano
PH043400000,tertiary_language,Bisaya/Binisaya
PH045600000,tertiary_language,Bikol
PH045800000,tertiary_language,Bikol
PH050500000,tertiary_language,Bisaya/Binisaya
PH051600000,tertiary_language,Other languages
PH051700000,tertiary_language,Other languages
PH052000000,tertiary_language,Adasen
PH054100000,tertiary_language,Bisaya/Binisaya
PH056200000,tertiary_language,Bisaya/Binisaya
PH060400000,tertiary_language,Hiligaynon Ilonggo
PH060600000,tertiary_language,Cebuano
PH061900000,tertiary_language,Karay-a
PH063000000,tertiary_language,Bisaya/Binisaya
PH067900000,tertiary_language,Cebuano
PH071200000,tertiary_language,Tagalog
PH072200000,tertiary_language,Tagalog
PH076100000,tertiary_language,English
PH082600000,tertiary_language,Tagalog
PH083700000,tertiary_language,Cebuano
PH084800000,tertiary_language,Other languages
PH086000000,tertiary_language,Cebuano
PH086400000,tertiary_language,Tagalog
PH087800000,tertiary_language,Cebuano
PH097200000,tertiary_language,Cebuano
PH097300000,tertiary_language,Cebuano
PH098300000,tertiary_language,Hiligaynon Ilonggo
PH099700000,tertiary_language,Bisaya/Binisaya
PH101300000,tertiary_language,Hiligaynon Ilonggo
PH101800000,tertiary_language,Kamiguin
PH103500000,tertiary_language,Cebuano
PH104200000,tertiary_language,Subanen/Subanon/Subanun
PH104300000,tertiary_language,Tagalog
PH112300000,tertiary_language,Hiligaynon Ilonggo
PH112400000,tertiary_language,B'laan/Blaan language group
PH112500000,tertiary_language,Davaweño
PH118200000,tertiary_language,Mansaka
PH118600000,tertiary_language,B'laan/Blaan language group
PH124700000,tertiary_language,Cebuano
PH126300000,tertiary_language,Bisaya/Binisaya
PH126500000,tertiary_language,Ilocano
PH128000000,tertiary_language,Bisaya/Binisaya
PH129800000,tertiary_language,Iranun
PH133900000,tertiary_language,Ilocano
PH137400000,tertiary_language,Ilocano
PH137500000,tertiary_language,Ilocano
PH137600000,tertiary_language,Ilocano
PH140100000,tertiary_language,Masadiit
PH141100000,tertiary_language,Tagalog
PH142700000,tertiary_language,Ilocano
PH143200000,tertiary_language,Tagalog
PH144400000,tertiary_language,Bontok
PH148100000,tertiary_language,Itawis
PH150700000,tertiary_language,Chavacano
PH153600000,tertiary_language,Bisaya/Binisaya
PH153800000,tertiary_language,Teduray
PH156600000,tertiary_language,Other languages
PH157000000,tertiary_language,Jama Mapun
PH160200000,tertiary_language,Other languages
PH160300000,tertiary_language,Manobo
PH166700000,tertiary_language,Cebuano
PH166800000,tertiary_language,Other languages
PH168500000,tertiary_language,Surigaonon
PH174000000,tertiary_language,Adasen
PH175100000,tertiary_language,Ilocano
PH175200000,tertiary_language,Hanunuo
PH175300000,tertiary_language,Palawano language group
PH175900000,tertiary_language,Bisaya/Binisaya
PH184500000,tertiary_language,Bisaya/Binisaya
PH184600000,tertiary_language,Hiligaynon Ilonggo
PH012800000,tertiary_language_share,0.005
PH012900000,tertiary_language_share,0.022
PH013300000,tertiary_language_share,0.023
PH015500000,tertiary_language_share,0.088
PH020900000,tertiary_language_share,0.004
PH021500000,tertiary_language_share,0.06
PH023100000,tertiary_language_share,0.12
PH025000000,tertiary_language_share,0.089
PH025700000,tertiary_language_share,0.05
PH030800000,tertiary_language_share,0.004
PH031400000,tertiary_language_share,0.002
PH034900000,tertiary_language_share,0.002
PH035400000,tertiary_language_share,0.007
PH036900000,tertiary_language_share,0.184
PH037100000,tertiary_language_share,0.149
PH037700000,tertiary_language_share,0.008
PH041000000,tertiary_language_share,0.001
PH042100000,tertiary_language_share,0.004
PH043400000,tertiary_language_share,0.004
PH045600000,tertiary_language_share,0.006
PH045800000,tertiary_language_share,0.005
PH050500000,tertiary_language_share,0.001
PH051600000,tertiary_language_share,0.002
PH051700000,tertiary_language_share,0.001
PH052000000,tertiary_language_share,0.0
PH054100000,tertiary_language_share,0.053
PH056200000,tertiary_language_share,0.001
PH060400000,tertiary_language_share,0.008
PH060600000,tertiary_language_share,0.01
PH061900000,tertiary_language_share,0.003
PH063000000,tertiary_language_share,0.002
PH067900000,tertiary_language_share,0.001
PH071200000,tertiary_language_share,0.002
PH072200000,tertiary_language_share,0.002
PH076100000,tertiary_language_share,0.004
PH082600000,tertiary_language_share,0.003
PH083700000,tertiary_language_share,0.059
PH084800000,tertiary_language_share,0.021
PH086000000,tertiary_language_share,0.029
PH086400000,tertiary_language_share,0.002
PH087800000,tertiary_language_share,0.044
PH097200000,tertiary_language_share,0.063
PH097300000,tertiary_language_share,0.135
PH098300000,tertiary_language_share,0.083
PH099700000,tertiary_language_share,0.145
PH101300000,tertiary_language_share,0.065
PH101800000,tertiary_language_share,0.003
PH103500000,tertiary_language_share,0.204
PH104200000,tertiary_language_share,0.008
PH104300000,tertiary_language_share,0.006
PH112300000,tertiary_language_share,0.03
PH112400000,tertiary_language_share,0.03
PH112500000,tertiary_language_share,0.142
PH118200000,tertiary_language_share,0.034
PH118600000,tertiary_language_share,0.03
PH124700000,tertiary_language_share,0.213
PH126300000,tertiary_language_share,0.097
PH126500000,tertiary_language_share,0.128
PH128000000,tertiary_language_share,0.183
PH129800000,tertiary_language_share,0.116
PH133900000,tertiary_language_share,0.006
PH137400000,tertiary_language_share,0.006
PH137500000,tertiary_language_share,0.006
PH137600000,tertiary_language_share,0.006
PH140100000,tertiary_language_share,0.033
PH141100000,tertiary_language_share,0.176
PH142700000,tertiary_language_share,0.195
PH143200000,tertiary_language_share,0.013
PH144400000,tertiary_language_share,0.151
PH148100000,tertiary_language_share,0.043
PH150700000,tertiary_language_share,0.077
PH153600000,tertiary_language_share,0.019
PH153800000,tertiary_language_share,0.088
PH156600000,tertiary_language_share,0.01
PH157000000,tertiary_language_share,0.057
PH160200000,tertiary_language_share,0.013
PH160300000,tertiary_language_share,0.128
PH166700000,tertiary_language_share,0.032
PH166800000,tertiary_language_share,0.162
PH168500000,tertiary_language_share,0.084
PH174000000,tertiary_language_share,0.0
PH175100000,tertiary_language_share,0.031
PH175200000,tertiary_language_share,0.028
PH175300000,tertiary_language_share,0.08
PH175900000,tertiary_language_share,0.12
PH184500000,tertiary_language_share,0.072
PH184600000,tertiary_language_share,0.03
PH012800000,literacy_all,0.985
PH012900000,literacy_all,0.988
PH013300000,literacy_all,0.988
PH015500000,literacy_all,0.992
PH020900000,literacy_all,0.989
PH021500000,literacy_all,0.943
PH023100000,literacy_all,0.979
PH025000000,literacy_all,0.971
PH025700000,literacy_all,0.969
PH030800000,literacy_all,0.982
PH031400000,literacy_all,0.993
PH034900000,literacy_all,0.99
PH035400000,literacy_all,0.99
PH036900000,literacy_all,0.987
PH037100000,literacy_all,0.985
PH037700000,literacy_all,0.986
PH041000000,literacy_all,0.986
PH042100000,literacy_all,0.993
PH043400000,literacy_all,0.993
PH045600000,literacy_all,0.988
PH045800000,literacy_all,0.983
PH050500000,literacy_all,0.988
PH051600000,literacy_all,0.982
PH051700000,literacy_all,0.986
PH052000000,literacy_all,0.989
PH054100000,literacy_all,0.965
PH056200000,literacy_all,0.986
PH060400000,literacy_all,0.977
PH060600000,literacy_all,0.968
PH061900000,literacy_all,0.976
PH063000000,literacy_all,0.975
PH067900000,literacy_all,0.978
PH071200000,literacy_all,0.978
PH072200000,literacy_all,0.983
PH076100000,literacy_all,0.981
PH082600000,literacy_all,0.969
PH083700000,literacy_all,0.971
PH084800000,literacy_all,0.955
PH086000000,literacy_all,0.941
PH086400000,literacy_all,0.983
PH087800000,literacy_all,0.964
PH097200000,literacy_all,0.941
PH097300000,literacy_all,0.948
PH098300000,literacy_all,0.953
PH099700000,literacy_all,0.898
PH101300000,literacy_all,0.953
PH101800000,literacy_all,0.994
PH103500000,literacy_all,0.95
PH104200000,literacy_all,0.938
PH104300000,literacy_all,0.986
PH112300000,literacy_all,0.971
PH112400000,literacy_all,0.982
PH112500000,literacy_all,0.96
PH118200000,literacy_all,0.977
PH118600000,literacy_all,0.834
PH124700000,literacy_all,0.946
PH126300000,literacy_all,0.96
PH126500000,literacy_all,0.921
PH128000000,literacy_all,0.901
PH129800000,literacy_all,0.931
PH133900000,literacy_all,0.988
PH137400000,literacy_all,0.996
PH137500000,literacy_all,0.986
PH137600000,literacy_all,0.992
PH140100000,literacy_all,0.978
PH141100000,literacy_all,0.977
PH142700000,literacy_all,0.928
PH143200000,literacy_all,0.933
PH144400000,literacy_all,0.938
PH148100000,literacy_all,0.953
PH150700000,literacy_all,0.801
PH153600000,literacy_all,0.86
PH153800000,literacy_all,0.81
